Temperature,Humidity,CO2,Occupancy Count,External Temperature,Kp,Ki,Kd,Fuzzy Adjustment Factor,HVAC Power Consumption,Cooling Heating Output,Response Time,Energy Efficiency,HVAC Efficiency
22.49448143,44.94563274,983.9986488,12,7.752784299,2.055757823,0.11356647,0.448614994,0.850554642,8.94436207,0.559911692,7.191280481,80.04014119,2
29.40857168,43.31648385,547.6095965,26,14.71090409,0.99589954,0.205418072,0.164713025,1.056811196,3.079140814,1.504367427,23.74231432,97.83027387,2
26.7839273,37.0461565,677.3117555,37,31.40352542,0.863097405,0.916410934,0.31583364,0.991200503,7.651028523,-0.278671372,18.72931029,93.6967342,2
25.18390181,54.2906668,930.6245095,32,26.35883522,1.077068095,0.888923234,0.287849006,0.809292111,4.283123758,1.569539509,5.83428805,85.8250372,2
19.87222369,49.06496642,785.6714756,5,28.5748973,2.340311169,0.849772339,0.492451503,1.196332071,6.757243038,0.54570787,11.07781501,89.09861066,2
19.87193424,64.62803969,990.8568309,12,28.20302648,0.758240873,0.735653461,0.440257805,0.952891225,7.179767241,1.190351442,29.19081396,85.32052177,1
18.69700335,31.28438322,1168.966321,12,8.599172517,2.406190316,0.695369491,0.09094357,1.062080613,8.024928046,0.31192661,22.99641438,81.54896896,0
28.39411375,55.7547171,493.2373502,12,9.765816982,2.489625212,0.34796423,0.038857494,1.193432427,6.067468221,-0.805034165,28.10049197,90.52570342,1
25.21338014,60.51795514,967.6541731,19,14.51717747,2.066888621,0.401495079,0.228737395,1.053834073,4.98870655,0.259743882,18.94428464,89.93038886,1
26.49687093,60.37946277,584.2753245,35,14.03086336,2.020845094,0.312221962,0.277302799,0.924660804,9.562023213,0.906862034,25.71585833,88.88900644,1
18.24701393,65.44295868,731.5813819,36,6.982431148,2.406573061,0.982282269,0.397034423,0.995330483,4.681442403,0.673386222,17.72897807,97.98997055,2
29.63891823,59.16134971,426.2901806,44,9.604145287,1.081070659,0.670874307,0.088266269,0.841117438,4.344774792,-0.136695953,17.15751117,96.24924913,2
27.98931169,67.11240247,508.7259058,8,30.68690851,0.757964411,0.969190632,0.46076448,0.867695755,4.505858451,-1.91493286,9.964908911,91.21429317,2
20.54806933,43.30626399,655.8218312,16,22.67134514,2.14620075,0.344607804,0.290077258,0.924658783,8.595688001,0.316998227,24.70652223,85.63818584,2
20.18189961,50.12837667,673.5886442,34,15.26848978,0.841860099,0.659088201,0.422946327,0.833900361,7.078205068,1.702462971,17.77670649,82.64590615,0
20.20085412,30.56318653,1119.668173,17,20.79433694,0.590819829,0.783055679,0.419873659,0.845402264,3.473850627,1.701957416,9.599813214,95.19766647,2
21.65090692,30.27830349,993.4503274,24,12.83940175,0.892922975,0.185265178,0.476413598,1.135814067,3.561215064,1.441955955,16.04199612,82.83536169,2
24.29707718,39.60506482,1177.746375,14,22.51526952,1.375813172,0.700264858,0.332780339,0.899839803,2.894936293,0.47748614,16.79026092,81.05484322,2
23.18334022,34.03228789,879.2572083,22,7.238926497,1.490204527,0.252165311,0.394074298,0.929021976,5.356235273,0.037560336,5.902456818,92.83632363,2
21.49474968,40.40845472,593.3709857,0,32.07952097,0.625003397,0.395274201,0.412058349,0.869433897,5.81287922,-1.907904531,23.40768579,84.55746731,0
25.34223474,37.08173178,662.1240239,40,12.21339754,1.386788719,0.744537703,0.239377469,0.961685615,4.805689492,-0.59866264,5.502787917,96.17353357,2
19.67392633,31.14080099,655.8687386,37,29.57226506,1.70861519,0.496058262,0.221817143,1.079116601,5.14489232,1.414553566,18.92410589,96.02139911,2
21.50573578,66.37216586,661.1954621,17,24.79996599,2.363612955,0.929045668,0.473841531,1.178130049,6.882447734,-1.365928487,21.13643985,90.31911168,1
22.39634212,30.32892526,938.3713385,0,20.69020827,0.954639156,0.317081982,0.042816106,1.015514113,6.377639786,1.22875361,6.09515269,93.30970276,2
23.47283981,59.44328577,824.6463425,38,32.89389382,0.921940782,0.238403088,0.476942656,0.920090453,5.510097592,-0.914912873,13.12378958,82.1288777,2
27.42211154,36.08591548,708.3393425,9,9.70439541,1.278850155,0.403454774,0.293456752,1.003945205,5.970972477,0.188935017,24.25309191,90.97240498,2
20.39608539,66.48918488,519.271815,30,8.578324108,2.467309042,0.866730901,0.154393923,0.851064599,8.341146025,-0.830968953,8.591945882,89.00445817,2
24.17081326,65.71183758,417.7113304,37,14.65580395,1.172449562,0.8626821,0.28302935,1.070854681,6.128605533,-0.905074727,17.35330449,84.54149908,0
25.10897483,56.15604585,575.0677421,6,29.9066368,0.587735694,0.432375022,0.322517796,0.931387498,9.662160392,1.489892194,7.844432224,96.12276889,2
18.55740495,56.88936599,485.9771232,37,6.056043686,1.031229709,0.828858086,0.06428537,1.177943091,6.420035162,0.764736688,29.00783323,95.75210456,2
25.29053822,30.21356568,1028.356025,7,12.18217122,1.616603169,0.170009427,0.338263024,1.063416537,4.61694953,-1.138588343,10.78828268,94.74405275,2
20.04628948,69.39486264,489.9983663,33,17.74106575,1.325087451,0.10684144,0.452263664,0.99045475,9.548723564,-0.088745441,16.00118497,95.71940746,2
18.78061912,65.11330414,979.3825898,8,26.38822966,2.048446115,0.878324276,0.485934465,0.892231476,2.784671922,0.05033009,15.55877334,96.78884385,2
29.38662645,65.80424903,708.5269518,24,13.97939203,1.714543175,0.886664518,0.303896441,0.836775398,8.986739097,0.918185014,19.98545369,90.06022638,2
29.5875844,56.36978148,458.7027118,26,18.44337339,1.618914414,0.229058995,0.170251978,0.875269724,2.977240472,0.720597621,13.20167073,89.32525783,1
27.70076818,43.79147715,1050.18404,40,15.10551473,1.145987903,0.367942901,0.286101516,1.02801292,7.138395007,0.695239665,17.00438076,97.01542909,2
21.65536523,65.74594596,863.7044562,6,7.761807642,1.603692083,0.865536619,0.011395318,1.007837926,9.108667538,-0.477352789,28.05296433,96.07955017,2
19.17206537,41.66067713,588.6092103,31,27.16027954,1.731181439,0.175390254,0.460427147,0.803784038,2.849756551,-1.07466519,6.442576389,90.57576749,2
26.21079632,52.50846173,1115.744939,8,18.84138189,0.85840952,0.876783508,0.394473107,1.097624956,9.996382428,0.01071118,5.369769556,82.33332768,2
23.28182992,33.98923889,436.2066511,16,29.37536359,1.971735839,0.617214315,0.091555353,0.816058223,5.855108163,1.019996566,29.9358104,93.6715998,2
19.46445882,66.87822521,561.4556866,34,25.84078751,1.285865989,0.691549479,0.308589748,0.831207104,5.923816942,1.591889987,16.69077298,83.12782358,2
23.94212292,35.63081831,1001.637542,47,6.734456006,1.98455142,0.635337051,0.020094562,1.084757756,4.742879332,0.93421558,13.30803289,95.42523742,2
18.41266225,38.99587223,967.5023442,15,20.00227701,0.855421162,0.624279097,0.115860485,1.058442077,5.160255245,-0.419414276,10.40026356,92.57218783,2
28.91184482,52.32536633,631.417355,1,34.72566871,1.813041557,0.266554979,0.093305894,0.886169872,5.641689613,1.828879737,21.99494922,89.71247057,2
21.10535978,60.56372001,449.6199003,42,14.23610786,0.553766491,0.31245226,0.086513445,1.065130972,3.433721949,1.466331221,20.6552583,97.13356606,2
25.95026741,54.77405224,1086.462458,30,19.78874301,0.817931584,0.622048293,0.280529775,0.80758817,5.889439612,1.619471288,11.55405093,91.99175271,2
21.74053291,39.28535651,650.9581105,15,24.56097331,2.282241792,0.461264873,0.482568994,0.911234488,6.774937903,-0.865608087,11.07820401,84.13344238,0
24.24081625,30.0377217,556.5707319,46,11.06796801,1.422943912,0.587160225,0.073865186,1.103818601,2.204331966,1.931695335,25.81930879,84.80331963,0
24.56052335,60.28602321,812.8494579,32,26.07521631,1.515725668,0.328029405,0.437679706,0.989881725,7.95927411,-0.921176183,23.47575491,83.13353457,0
20.21825347,69.40829304,1128.181759,20,24.79330029,2.31515564,0.517440387,0.050306081,1.142232839,6.489413525,-1.346300691,24.09761971,95.95030223,2
29.63501553,62.39652481,434.8372623,16,16.248814,1.469866813,0.2290642,0.050592531,0.857456951,2.877122425,-1.15148051,16.3930265,85.11161297,1
27.30159388,48.40826473,1012.64327,34,13.53317802,1.809177105,0.134555842,0.317757964,1.14505452,8.741482652,0.596348592,12.75341757,97.18479694,2
29.2739873,66.15069046,857.9785824,6,32.57308104,0.943910144,0.956004737,0.291507875,0.994464254,5.974184595,-0.397354202,17.445497,88.22104995,2
28.73792821,46.39390692,740.3592932,28,8.810707181,0.66314629,0.750749631,0.178671828,0.84059176,5.403426087,-1.357694033,19.84439678,95.53704956,2
25.17479975,50.99736337,995.2643553,10,17.96092374,1.206703531,0.54825747,0.271360359,0.818649531,5.065248583,0.990878826,23.06499534,87.95065539,2
29.06249082,49.0851907,1172.65954,29,28.00950885,2.097358934,0.595910605,0.379908947,0.800518748,8.278079735,-1.440680851,16.48433709,97.23973124,2
19.06191002,47.90495491,583.3649689,17,9.444112864,1.393674621,0.560056389,0.388914409,1.054818915,2.647816538,-1.710024299,22.37705401,94.16676015,2
20.35179435,61.00763077,514.9178921,45,32.98782601,0.836300728,0.908928525,0.015872596,0.888825848,7.643530665,1.429320269,18.02082772,96.86791758,2
18.54272747,51.07075629,1130.305396,15,20.7875722,1.590196058,0.796274709,0.048260782,0.858380561,7.097017832,0.166968771,9.03580885,94.86770931,2
21.90396397,42.66868488,935.162462,5,20.14446963,1.027680721,0.392628437,0.011680961,1.040566977,5.387073484,0.551812145,6.9039563,92.06494917,2
22.66412748,40.32632671,750.3888172,1,17.72832232,2.393335614,0.296368128,0.017664371,0.963659029,9.610987748,1.995432166,19.02165187,96.12054473,2
21.25618838,31.50989268,858.6076562,42,31.02350574,1.654825281,0.159876361,0.421422936,0.979802485,6.405762922,1.824077879,16.58720658,81.79075508,0
27.94485011,53.32780648,996.4911241,42,33.45324226,2.465924852,0.233010211,0.050940908,0.853606272,6.766238674,-0.339735885,14.51746364,87.60430447,2
22.28103992,39.19845662,1018.425519,9,16.40204079,0.586145572,0.541055021,0.358393045,0.901285264,8.104888616,-0.026040663,19.25248844,88.11822849,2
21.37121412,35.92535688,1135.915345,3,21.27180951,0.52311918,0.282313265,0.490216086,0.839604962,7.00264121,-1.76048645,22.52400748,95.39799561,2
24.512353,56.15319855,741.4742311,48,14.46269398,1.454191159,0.381154526,0.412245649,0.933986707,8.743061916,-0.046540078,10.78890265,89.8378059,2
19.6910907,57.24837031,634.728728,9,16.04050285,2.223998974,0.219996201,0.04253394,0.923442981,3.831532172,-0.878991506,18.6301875,89.54470145,1
27.62636377,60.08619569,911.7314134,8,5.850006819,1.548813895,0.930532735,0.448000842,1.111053154,8.285985011,1.027611505,10.48349202,85.04930941,1
